16,1000,0.012661
16,1000,0.014706
16,1000,0.013897
16,1000,0.014065
16,1000,0.015062
16,1000,0.013479
16,1000,0.014995
16,1000,0.012219
16,1000,0.013254
16,1000,0.013586
64,1000,0.175869
64,1000,0.177009
64,1000,0.182561
64,1000,0.178411
64,1000,0.176324
64,1000,0.176823
64,1000,0.177177
64,1000,0.179254
64,1000,0.206415
64,1000,0.212531
256,1000,2.769162
256,1000,2.788032
256,1000,2.909369
256,1000,2.748283
256,1000,3.045206
256,1000,2.763839
256,1000,2.867645
256,1000,2.887366
256,1000,2.925071
256,1000,3.941720
512,1000,12.133191
512,1000,11.497175
512,1000,12.829243
512,1000,12.332773
512,1000,14.587447
512,1000,15.332856
512,1000,12.183807
512,1000,13.301865
512,1000,15.091059
512,1000,13.936498
1024,1000,57.198341
1024,1000,49.679810
1024,1000,46.649063
1024,1000,43.994789
1024,1000,43.353649
1024,1000,45.264343
1024,1000,44.381443
1024,1000,43.126083
1024,1000,43.141354
1024,1000,43.288212
