16,1000,0.020374
64,1000,0.062759
256,1000,0.725891
512,1000,2.838185
1024,1000,11.123453
2048,1000,44.237988
16,1000,0.020131
64,1000,0.061749
256,1000,0.722504
512,1000,2.837872
1024,1000,11.124306
2048,1000,44.236946
16,1000,0.020398
64,1000,0.062168
256,1000,0.722467
512,1000,2.837619
1024,1000,11.123926
2048,1000,44.237240
16,1000,0.020219
64,1000,0.062145
256,1000,0.722935
512,1000,2.838451
1024,1000,11.123605
2048,1000,44.238277
16,1000,0.018605
64,1000,0.062547
256,1000,0.722691
512,1000,2.837591
1024,1000,11.124320
2048,1000,44.240463
16,1000,0.022583
64,1000,0.061503
256,1000,0.722607
512,1000,2.838244
1024,1000,11.124145
2048,1000,44.239147
16,1000,0.020126
64,1000,0.062380
256,1000,0.722426
512,1000,2.837782
1024,1000,11.124737
2048,1000,44.238728
16,1000,0.019935
64,1000,0.061431
256,1000,0.722424
512,1000,2.837985
1024,1000,11.125937
2048,1000,44.237438
16,1000,0.020236
64,1000,0.062322
256,1000,0.722314
512,1000,2.839048
1024,1000,11.124245
2048,1000,44.238892
16,1000,0.020250
64,1000,0.060574
256,1000,0.722940
512,1000,2.842573
1024,1000,11.124556
2048,1000,44.238674
